// vid	name	description
c032_00	Sana_Tanikawa	The best choice for the mature spirit world is a retro look.
c032_01	Lively_Alecto	"Call me anytime, master! I have my maid uniform on 24-7!"
c032_02	Non-Stop_Alecto	A maid's uniform makes you fearless!
c033_00	Sae_Momoki	The color green soothes the pain of a girl who can't forget her first love.
c033_01	Tranquil_Diana	This pure young girl will become queen of the forest.
c033_02	Reclusive_Diana	This pure young girl will become the guardian deity of the forest.
c034_00	Tomomi_Okawachi	A costume of a daydreaming librarian. Reading is a daydreamer's sacred duty.
c034_01	Lazy_Mnemosyne	Mnemosyne's body-hugging combat suit.
c034_02	Haughty_Mnemosyne	Mnemosyne's body-hugging combat suit has a slimming effect.
c035_00	Kanna_Kirishima	The ribbon is a reminder of the love of the father she left behind.
c035_01	Dawn_Persephone	An outfit perfect for any negotiation.
c035_02	Bound_Persephone	Can we interest you in the\latest trend in the Infernal Realm?
c036_00	Saya Imamiya	This costume hides everything. Now there's no need to worry about your figure.
c036_01	Squandering_Hermes	This costume from Hermes,\the used clothes dealer, shows how little she cares about fashion.
c036_02	Buyer_Hermes	This costume from Hermes,\the used clothes dealer, shows how little she cares about trends.
c036_10	Collector_Hermes	A limited edition jersey made just for Hermes
c037_00	_Judas	Creepy cute casual wear worn by Judas, king of the backstreets.
c037_01	_Judas	Causes profuse sweating but who cares? Real men use lasers!
c037_02	Dark Lord_Judas	If gets too hot outside, it's time to take it off.
c038_00	Alicia_Bradley	A vacation outfit that screams fun in the sun.
c038_01	Spiteful_Calypso	Just the costume you'd expect from the girl who insists blue is the color of vivid love.
c038_02	Charming_Calypso	Love requires courage. But I don't plan on drowning at sea...
c039_00	Yuri_Morita	This outfit transforms its wearer into a confident career woman.
c039_01	Furious_Morrigan	She wore this after hearing it was supposed to be ladylike, but now she feels deceived.
c039_02	Devout_Morrigan	She wore this after hearing it was supposed to look attractive, but now she feels deceived.
c040_00	Shizuka Takagi	This uniform is a must for office workers strict about how work is done. That's the rule!
c040_01	Lawful_Shamash	Who in the world decided that rabbits are righteous animals?
c040_02	Law-Abiding_Shamash	Righteous rabbits show no mercy. "Eat my bunny punch!"
c041_00	_Mattie	Welcome to Darktown. Can I interest you in this elegant fur coat?
c041_01	Night_Tiamat	Watch out! Her outfit is so black,\it's hard to tell where her belt is.
c041_02	Abyssal_Tiamat	The old trope "beautiful babe behind the mask" works every time.
c043_00	Marika Yonai	This cosplay outfit would probably be a hit in America!
c043_01	Conceited_Hera	"Hey you!\Yeah, you! No, not you! I'm talking to YOU!"
c043_02	Egotistical_Hera	You haven't been truly put to the test until you've stared down the barrel of a gun and smiled!
c044_00	Hiroyuki_Nishiyama	Flat broke as usual, and zero fashion sense.
c044_01	Aimless_Pantheon	Nothing really changed, even after becoming a Child.
c044_02	Vagabond_Pantheon	A flat-broke dual-blade wielder can't afford to let his guard down!
c045_00	Arisa_Hino	Try flashing that well-rehearsed smile when the cameras barge into the training room.
c045_01	Singing_Aria	A pop star's sweat is the fruit of her labors!
c045_02	Delightful_Aria	Everyone's been waiting! Time to take the stage!
c045_10	Christmas_Aria	Noel〜Noel〜♪\Human and Devil alike, come enjoy the concert Aria Live!
c045_11	Highlight_Aria	I'm giving it my all! Let's do this together!\"L-O-V-E! Lovely Aria!"
c045_12	Breaktime_Aria	The fateful day when she met Planet Party.
c045_13	Lovely Star_Aria	An endless concert. An encore just for you,\and the one under the bright lights.
c045_89	Highlight_Aria	
c047_00	Ran_Kagami	A costume for a woman who just can't say no.
c047_01	Smoldering_Hestia	A costume for the girl who wants everyone she dislikes to burn with envy...or fire.
c047_02	White Flame_Hestia	A costume the color of white-hot magnesium.
c048_00	Mei_Urae	An outfit that has been cursed by a wretched young girl. Makes a great souvenir.
c048_01	Melancholy_Neamhain	Pessimistic, masochistic, snarky. The total package.
c048_02	Love-Hate_Neamhain	There's no poison more deadly than love, and she's got plenty of both.
c049_00	_Rosseta	If you're looking for peace of mind, try this on for size.
c049_01	Lost_Maat	Don't make a habit out of wearing this habit in God's presence.
c049_02	Blind Faith_Maat	Even demons need a breather sometimes.
c049_10	Abyssal_Maat	An outfit born from the darkness\lurking within Maat.
c050_02	Tyrannical_Od	Od's true form.
c051_00	_Frej	Frej after reverting to child form in order to conserve his magic.
c051_01	_Frej	Only the great Frej could pull off a mesh T-shirt like this!
c051_02	Bad Boy_Frej	Yes, it is I, Bad Boy Frej, the great demon of the Infernal Realm!
c051_21	Cursed Doll_Frej	
c052_00	Mikio_Harashinai	The wrath of a salesperson, normally kept hidden beneath suit and tie.
c052_01	Dramatic_Berit	If someone who looks like this ever approaches you,\run away and don't look back.
c052_02	Deceptive_Berit	Do NOT accept invitations from boys dressed like\this, no matter how cute they may be.
c053_00	Chie_Amamiya	No amount of beautiful clothes can hope to fill the hole in her heart.
c053_01	Hesitant_Metis	Resembles a doll in more ways than one. Never says a word, because she never needs to.
c053_02	Clairvoyant_Metis	Resembles a doll in more ways than one.\A lot of work went into her skirt, and it shows.
c054_00	_Ichitaka	Trains every day to better serve her master. Nin-nin!
c054_01	Guardian_Legend	A distinctly un-ninja-like ninja costume made with devotion to her master.
c054_02	Heroic_Legend	The legend of Legendary Legend begins today...legendarily.
c056_00	Mia_Saotome	Everyone knows no demon can withstand a nun habit.
c056_01	Martyr_Jeanne d'Arc	If only she WOULD actually fight like a demon...
c056_02	Sacrificial_Jeanne d'Arc	Even a demon would be receptive to the gospels coming from one as devout from her.
c057_00	_Lan Fei	Don't defy her, if you know what's good for you.
c057_01	_Lan Fei	How's anyone supposed to focus on shopping with a store owner like this?
c057_02	Blackstar_Lan Fei	Two words: lethal beauty.
c058_00	_Nirrti	Exorcist training clothes.
c058_01	Exorcist_Nirrti	An outfit that perfectly expresses what that Child is all about.
c058_02	Rakshasa_Nirrti	Become one with the blade.
c060_00	Rurimi_Sakakibara	Dressed all in white from head to toe.
c060_01	Counterattack_Tisiphone	Be wary about approaching from behind!
c060_02	Avenger_Tisiphone	A woman as deadly as she is beautiful.
c061_00	Shion_Fujiwara	Spreading the most beautiful heavy metal throughout the world.
c061_01	Underground_Siren	If you want to perform on the world's stage, you'd better be dressed for the occasion!
c061_02	Midnight_Siren	Feeling demonically inspired!
c062_00	Atsuko_Sashikawa	Strongly recommended for those who wish to spend their school days between love and envy.
c062_01	Fragrant_Europa	Remember to watch for thorns even on the most beautiful of flowers...
c062_02	Alluring_Europa	You don't see what's so beautiful? You may want to get your head examined.
c063_00	Akimi_Inokuchi	Casual wear for shy girls.
c063_01	Timid_Freesia	Don't forget to affix postage when you mail a letter.
c063_02	Speculative_Freesia	If you mean what you say, you don't need more than a single sentence.
c064_00	Iwai_Akiko	A costume that elevates Medusa's glamour to even greater heights.
c064_01	Reigning_Medusa	Medusa's formal combat suit.
c064_02	Conquering_Medusa	A combat suit that contains Medusa's fighting spirit.
c064_88	Conquering_Medusa	If you're gonna run, do it now.
c064_89	Reigning_Medusa	
c065_00	Amu_Amamiya	Being a grown-up is hard.
c065_01	Blooming_Erato	A blooming beauty.
c065_02	Profuse_Erato	Did you find some perfume that goes well with this outfit?
c066_00	_Yohei Kurozaki	Chess is a game of deception. Don't be fooled by that smile.
c066_01	Self-Righteous_Aten	Give 'em your best poker face. Don't let your feelings give you away.
c066_02	Machiavellian_Aten	1 + 1 = 2! Now, don't you feel smarter?
c067_00	Sakuji_Kusano	Forbidden for young guys in good health.
c067_01	Unknown_Thanatos	Black is the color of death and decay.
c067_02	Trancendent_Thanatos	Black is the color of rest and eternal peace.
c068_00	Shiori_Sato	Thanks to the apron, the clothes were saved, but the food was not.
c068_01	Challenger_Ambrosia	Did you know that sausages are actually really hard to cook?
c068_02	Gourmet_Ambrosia	Can I have some dessert?
c069_00	Ryohei_Kirihara	Wrenches are tools, not weapons.
c069_01	Restorative_Ptah	This wrench isn't a tool. It's a weapon.
c069_02	Tuning_Ptah	For fools with loose screws, I've got just the wrench to tighten them up.
c072_00	Hirotsugu_Nakayamamoto	Why would you think I'm being bullied?
c072_01	Explorer_Fenrir	Combat suit for nihilists of few words.
c072_02	Shadow_Fenrir	I may not survive this battle, but I'm taking the enemy down with me!
c073_00	Futaba_An	A pessimistic general store shopkeeper.
c073_01	Self-Deprecating_Navi	Navi's cold dress, laden with sighs.
c073_02	Hollow_Navi	A dress made of the tears Navi has shed.
c074_00	Yoshiko_Yoshida	A true cheerleader can work with anything.
c074_01	Cheerful_Quirinus	Did you know sunfish and demons are best buds?
c074_02	Passionate_Quirinus	For the demon who wants a personal cheering squad!
c075_01	Odorous_Taha	A black halter-neck mini-dress chosen personally by Taha.
c082_00	Yu_Kano	Put this on to increase your powers of perception, as well as your share of bad luck.
c082_01	Artisanal_Calchas	A casual, yet well-engineered jacket with distinctive red armbands.
c082_02	Prophetic_Calchas	Calchas's cool, casual, cream-colored coa...er, jacket.
c083_00	Rei_Kamisaka	All bags are subject to inspection. And yes, firearms will be confiscated!
c083_01	Battlefield_Neith	Put this on and watch your thirst for battle shoot up.
c083_02	Tactician_Neith	This outfit raises your Power, with a slight trade-off: You'll have trouble discerning enemies from allies.
c086_00	Kyoko_Harada	Never have soup made by unauthorized witches.
c086_01	Seasoned_Goga	Food is sincerity! Goga's combat fatigues.
c086_02	Flavored_Goga	Food is love! Goga's combat fatigues.
c087_01	Pure-White_Ninurta	Ninurta's lucky outfit for surviving heated battles.
c090_00	Keito_Rindo	Keep on living, no matter what lies in your way.
c090_01	Resurgent_Vulcan	A costume that captures that classic Muppet feel.
c090_02	Reviving_Vulcan	A Renaissance look that captures that classic Muppet feel.
c091_00	Yuriko_Miyamori	An aggressive outfit unfit for a security guard.
c091_01	Guardian_Myra	Myra's ferocious nature, fully unleashed.
c092_01	Hygienic_Eames	A combat suit that makes abundantly clear how good Eames is with a sword.
c095_00	Kumiko_Kudo	Scratches or not, I'll work as hard as it takes!
c095_01	Hotblooded_Vesta	Put this on to challenge anyone at all to a duel!
c095_02	Passionate_Vesta	Combat suit that is entirely focused on victory.
c099_00	Marin_Okazawa	What's wrong with a pop star playing heavy metal?
c099_01	Bored_Melpomene	When I put this on, my voice got updated!
c099_02	Roaring_Melpomene	Can't headbang without long hair!
c101_00	Nanami_Kasugai	Won't you be her guardian angel?
c101_01	Naive_Syrinx	Combat suit for the kindhearted Syrinx.
c101_02	Praising_Syrinx	Combat suit for Syrinx after she decided\to show kindness to humans and demons alike.
c106_01	Vengeful_Medeia	Comes with a doll who talks when the wearer does.
c106_02	Plotting_Medeia	Comes with a doll that was cursed along with this outfit.
c107_00	Masato_Teshigawara	Not even sunglasses can hide his empty thoughts.
c107_01	Glittering_Apollo	Dancer Apollo’s combat suit. Once they start grooving, his hips won't stop moving.
c107_02	Admirable_Apollo	Sun Dancer Apollo’s combat suit. It's hard to look away from...you know.
c112_00	Seiichiro_Kurusu	Agonizingly thinking about "truth" is the sign of a growing boy.
c112_01	Truth-Seeker_Elias	Combat suit made with the agony of Truth-Seeker Elias.
c112_02	Sage_Elias	Combat suit made with the will of Elias, guardian of wisdom.
c113_00	Kayano_Mido	An outfit worn by a Child's pactmaker.
c115_00	Shino_Tsurumaki	My secret to soft, white skin? Die young!
c115_01	Sorrowful_Sonnet	Makes every member of the audience feel sad, regardless of what is being performed.
c115_02	Reconciliatory_Sonnet	Makes every member of the audience want to burst into tears, regardless of what is being performed.
c116_01	Perceptive_Pluto	Pluto's basic combat uniform.
c117_00	Himiko_Kiba	Young witches tend to be easy prey for demons...
c117_01	Loyal_Yaga	A witch is nothing without her broom, and a broom is nothing without a witch. Any questions?
c117_02	Pious_Yaga	The official witch's uniform.
c120_00	Tsubomi_Kisaragi	In flower language, morning glories supposedly mean "good news."
c120_01	Meadow_Flora	Flora's combat suit. Smells like wildflowers.
c120_02	Free_Flora	Flora's combat suit. Smells like spring sunshine.
c121_00	Norio_Nonomura	When you feel like being alone, try this "forlorn musical prodigy" look on for size.
c121_01	Night_Muse	Instruments are for playing, not shaking.
c121_02	Thundering_Muse	A costume for Muse that makes you look cool, even if you only know E minor.
c123_00	Kaneko_Kaneda	What's a megaphone-wielding boss supposed to do?
c123_01	Creative_Baphomet	A costume for Baphomet, who refuses to be satisfied with anything dull, antiquated, or obsolete.
c123_02	Cheering_Baphomet	A costume for Baphomet, who tirelessly seeks to push the boundaries of fashion.
c124_00	_Eve	If a pretty young girl asks you for directions, be kind.
c124_01	Forbidden_Eve	Only Eve could wear a pumpkin skirt and still make it look hot.
c124_02	Original Sin_Eve	Raises Power, but impedes your sense of direction.
c124_10	Cyan Rose_Eve	The cold light of dawn. A dream of blue rose petals.
c125_00	Seiji_Sengoku	Your basic student uniform.
c125_01	Terrestrial_Altice	Altice's standard outfit.
c126_00	Momomi Hoshida	The cheerful smile of a young girl who has overcome first heartbreak's pain.
c126_01	Your_Salmacis	A mass-market magical girl suit. Available at toy stores everywhere.
c126_02	Your Exclusive_Salmacis	A Salmacis-exclusive suit that no toy store could hope to match.
c127_00	Natsuki_Oguri	Having a cat around makes even the rainiest days shine.
c127_01	Wild_Bastet	Why is everyone pretending to not see me...?
c127_02	Phantom Night_Bastet	If you want to wear this outfit, you need to master your catwalk. I mean a REAL catwalk.
c127_10	Second Coming_Bastet	Bastet's pharaoh costume, stitched with magical golden thread.
c129_01	Honorable_Nike	Nike's standard outfit.
c130_00	Kagura_Maganuma	White hair at a young age is the mark of a true musician.
c130_01	Strategic_Genius	A combat suit for Genius, the peerless musician.
c130_02	Master_Genius	A combat suit for Genius, the perfectionist artist.
c131_00	Akihiko_Oda	An outfit worn by Osiris's pactmaker.
c131_01	Returned_Osiris	Osiris's basic combat uniform.
c132_00	Akihiro_Oda	There is no better outfit for dancing the days away.
c132_01	Composed_Midas	A suit for Midas that exudes quiet elegance.
c132_02	Aesthetic_Midas	A suit for Midas that is fit for a banquet.
c133_00	Ayaka_Mitsukuni	An outfit for volleyball, NOT dodgeball.
c133_01	Armageddon_Titania	Appears to literally shine when worn by Titania.
c133_02	Showdown_Titania	A combat suit for Titania, the self-proclaimed figurehead of the Archfiend Contest.
c135_00	Miori Kaname	Little sister’s outfit that has cats on it.
c135_01	Warrior_Valkyrie	A combat suit for Valkyrie, a proud warrior who fights for none other than you.
c135_02	Loner_Valkyrie	A combat suit for Valkyrie, a lofty warrior who still fights for none other than you.
c139_00	Shiho_Shinohara	Shy or not, why not try it on just once?
c139_01	Floral_Pomona	Found Pomona hiding among the flower petals.
c139_02	Hidden_Pomona	Found Pomona hiding in the forest.
c140_01	Guarding_Nodens	Nodens' standard costume.
c141_00	Yumi_Iteya	An outfit imbued with the heartbreak of the archery prodigy who outshot the man she harbored feelings for.
c141_01	Monolouging_Amor	A combat suit for Amor, the solitary player who never misses a shot.
c141_02	One Sided_Amor	A combat suit for Amor, the demon who never misses a shot, but HAS missed love's glorious touch.
c142_00	Ruiiko Nejime	With dark circles under her eyes, she bears a striking resemblance to a certain second-fiddle demon.
c142_01	Night Maiden_Hypnos	Is it just me...or have we met once upon a dream?
c142_02	Dreamer_Hypnos	Is it just me...or have we met once upon a nightmare?
c144_01	Night Festival_Medea	A costume that will turn any grade-schooler into a witch. Kids love it!
c147_00	Toji_Gonda	"Please let me know if you have any questions."\Th-thanks, I'm just looking...
c147_01	Frenzied_Baal	A combat suit for Baal, who seems like he might destroy everything in sight.
c147_02	Bloody_Baal	A combat suit for Baal, who seems like he might rip everything to shreds.
c148_00	Juria_Kitazume	Graffiti is a pure expression of youthful freedom! I will NOT have you refer to this as a "scrawl"!
c148_01	Harlequin_Inanna	There's just something about this outfit that makes you want to rest your head on it.
c148_02	Tyrannical_Inanna	A perfect example of the kind of expression you DON'T want to make in a picture.
c149_00	Hideka_Ebina	New teachers are always sent to the frontlines.
c149_01	Indecisive_Rusalka	In the water, you never get lost.
c149_02	Confessing_Rusalka	Right now, there's no stage in the world where Rusalka can't sing.
c152_00	_Hebe	Come to Bar Replay for the finest critical hits.
c153_00	Shiho_Shiozuka	With these maps, there's nowhere I can't go!
c153_01	Adventurer_Epona	To the ends of the Infernal Realm! With the lightest possible bag!
c153_02	Wandering_Epona	Wherever I walk, that's my path. Wherever I am, that's my destination!
c154_00	Takashi_Taichi	Even rookie detectives can tell a lot from a person's clothes.
c154_01	Stern_Thoth	Charm so refined, it'll take your breath away.
c154_02	Severe_Thoth	Charisma so severe, it'll take your breath away.
c156_00	Kiriko_Kikyoutani	A mysterious beauty who gives the impression of\having been witness to many unspeakable things.
c156_01	Autocratic_Elizabeth	A combat suit for Elizabeth, the noblewoman who sneers at the world.
c156_02	Empress_Elizabeth	A combat suit for Elizabeth, the empress who imparts orders to demons.
c158_00	Mikako_Kameuchi	I want to fall in love, not go swimming...
c158_01	Dreaming_Naias	If you've got something in your sights, that's when it's time to break out the flippers!
c158_02	Märchen_Naias	I just caught me a handsome man! Oh, wait, it was just me...
c158_10	Marine Flower_Naias	A gorgeous dress\for the greedy Naias.
c161_01	Judging_Justitia	Justitia's standard costume.
c164_00	Nao_Shinonome	Hold me tight and don't let go, from the top of my head to the tips of my toes!
c164_01	Bound_Ishtar	A combat suit for Ishtar, trapped in her own mind.
c164_02	Liberated_Ishtar	A combat suit for Ishtar, who has finally spread her wings.
c167_00	_Mei	When it comes to setting the table, speed is everything! After all, who wants to eat cold dumplings?!
c167_01	Sunny_Chang'e	A dress for Chang'e, who remembers everything about the spring you spent together.
c167_02	Incarnated_Chang'e	A dress for Chang'e, who dreams of spending spring with you.
c169_00	Asuna_Kagamino	A fragment of desire who kind of looks like me, but has a completely different smile.
c169_01	Happy_Euros	I made some chocolate just for you.
c169_02	Glorious_Euros	I poured my heart into this chocolate. I really hope you eat it...
c172_00	Kasane_Karakasa	The slums don't suit me. But even they need a ray of hope, right?
c172_01	Shining_Yuna	This kind young girl shines like a sunbeam even in the face of demons.
c172_02	Glittering_Yuna	The naive young girl shines like the heavens even in the face of demons.
c173_00	_Reika Takagi	Sturm and drang! Kids hang on to chocolate with their lives!
c173_01	Small_Daoine Sidhe	Locked, loaded, and ready to play!
c173_02	Kid Sister_Daoine Sidhe	If you want to enjoy your demon life, you have to get up off your demon duff!
c173_10	Dangerous_Daoine Sidhe	A costume Daoine Sidhe wears exclusively for going out.\Note the highly dangerous lollipops.
c174_00	_A.I	Her offstage outfit isn't at all what you might think.
c174_01	_A.I	An ostentatious stage outfit for A.I, a reporter of the secret Night World.
c174_02	Limited_A.I	A darker stage outfit for A.I, the intrepid reporter with the smiling facade.
c174_11	Summer Vacation_A.I	
c175_00	Yoshihiko_Ikariyama	A rich security guard? Talk about a useless job.
c175_01	Guardian_Red Cross	A combat suit for Red Cross made out of elegant fabric.
c175_02	Sentinel_Red Cross	A combat suit for Red Cross made out of sophisticated fabric.
c176_01	Eye Catching_Eshu	A neon-colored jacket from the Night World.
c176_02	Dealer_Eshu	A milk-colored jacket that just doesn't fit into the Night World.
c178_00	Reiko_Yukawa	True intelligence shines in silence.
c178_01	Mirage_Morgana	So light it barely feels like you're wearing anything! Be careful it doesn't float away.
c178_02	Fantasy_Morgana	Fits so well you'd swear it was made of fog! Be careful it doesn't dissipate.
c180_00	Takao_Hozan	This is no ordinary bag. This is a Clutch Bag.
c180_01	Ambitious_Mammon	More vivacious! More ostentatious!
c180_02	Greedy_Mammon	More ostentatious! More glamorous!
c183_00	Tatsuko_Tamogami	Clothes for the runaway shrine maiden. Make sure not to leave any part unprotected.
c183_01	Preacher_Dana	Winged clothes for the goddess in your life. Only the Chosen Ones can wear it.
c183_02	Declarative_Dana	A holy robe for the goddess in your life. Exudes an aura that can only be called "divine."
c184_00	Tamae_Tatsunami	If you want the sighing option, you'll have to pay extra.
c184_01	Wandering_Elysion	Everyone knows you should put on your swimsuit before going in the ocean.
c184_02	Paradise_Elysion	What do you need to navigate the sea in search of freedom?
c185_01	Foolhardy_Hermod	So this is the kind of person you don't want to meet in an alley...
c187_00	Sayori_Mizutani	An outfit worn by Thetis's pactmaker.
c187_01	Grieving_Thetis	Thetis's best dress, dyed in a beautiful deep-sea blue.
c187_02	Sorrowful_Thetis	A Thetis-exclusive dress adorned with coral and pearls.
c187_89	Sorrowful_Thetis	A Thetis-exclusive dress adorned with coral and pearls.
c188_00	Sachika_Tsuchida	Just putting it on fills you with a sense of justice.
c188_01	Charging_Atalanta	Atalanta's hammer of justice, designed to target evildoers only.
c188_02	Renowned Assistant_Atalanta	Atalanta's hammer of justice, designed to target evil demons only.
c189_01	Bound_Kratos	The difference between this outfit and a prison uniform? These stripes are vertical.
c189_02	Liberated_Kratos	I wonder if I could get away with punishing the succubi in this outfit...?
c190_00	Hiromi_Yuki	She may be sickly, but she hasn't given up on her dreams.
c190_01	Mimic_Isis	This lovely dress for Isis is flying off the shelves.
c190_02	Actress_Isis	Isis won this dress when she was awarded Rookie of the Year. Now available at stores everywhere.
