// idx	name	description
1030113	Yo-Yo	Walk the dog!\Around the world! Cat's cradle! Wait, what was that last one?
1030114	Yo-Yo	Walk the dog!\Around the world! Cat's cradle! Wait, what was that last one?
1030115	Yo-Yo	Walk the dog!\Around the world! Cat's cradle! Wait, what was that last one?
1040143	High-Speed Dart	Modified to fly straighter and truer than any dart before...\But still just a regular dart.
1040144	High-Speed Dart	Modified to fly straighter and truer than any dart before...\But still just a regular dart.
1040145	High-Speed Dart	Modified to fly straighter and truer than any dart before...\But still just a regular dart.
1040153	Magic Wand	Press it to shoot out pollen.\In the wrong hands, this can be an extremely irritating weapon.
1040154	Magic Wand	Press it to shoot out pollen.\In the wrong hands, this can be an extremely irritating weapon.
1040155	Magic Wand	Press it to shoot out pollen.\In the wrong hands, this can be an extremely irritating weapon.
1040163	Mini Bazooka	It’s like a Bazooka but smaller.\The legality of owning this weapon is still being contended.
1040164	Mini Bazooka	It’s like a Bazooka but smaller.\The legality of owning this weapon is still being contended.
1040165	Mini Bazooka	It’s like a Bazooka but smaller.\The legality of owning this weapon is still being contended.
1040173	Stop Sign	A perfect replica of a Stop Sign.\Made with iron for some serious stopping power.
1040174	Stop Sign	A perfect replica of a Stop Sign.\Made with iron for some serious stopping power.
1040175	Stop Sign	A perfect replica of a Stop Sign.\Made with iron for some serious stopping power.
1050193	Axe	A practical weapon that can cut down human and demon alike.\Indispensable when making a campfire.
1050194	Axe	A practical weapon that can cut down human and demon alike.\Indispensable when making a campfire.
1050195	Axe	A practical weapon that can cut down human and demon alike.\Indispensable when making a campfire.
1050203	Halberd	Everything from the hilt to the blade has been crafted with attention to detail.\Takes a little practice to actually wield, though.
1050204	Halberd	Everything from the hilt to the blade has been crafted with attention to detail.\Takes a little practice to actually wield, though.
1050205	Halberd	Everything from the hilt to the blade has been crafted with attention to detail.\Takes a little practice to actually wield, though.
1050213	Fake Scimitar	The weapon of choice for bearded old men and pretty young girls alike.\It may not have a blade, but its strikingly realistic appearance makes it a popular cosplay prop.
1050214	Fake Scimitar	The weapon of choice for bearded old men and pretty young girls alike.\It may not have a blade, but its strikingly realistic appearance makes it a popular cosplay prop.
1050215	Fake Scimitar	The weapon of choice for bearded old men and pretty young girls alike.\It may not have a blade, but its strikingly realistic appearance makes it a popular cosplay prop.
1050223	Nunchuk	Whacha! An awesome and intimidating weapon!\Be careful not to whack yourself in the face.
1050224	Nunchuk	Whacha! An awesome and intimidating weapon!\Be careful not to whack yourself in the face.
1050225	Nunchuk	Whacha! An awesome and intimidating weapon!\Be careful not to whack yourself in the face.
1050303	Cute Broom	Looks great in fancy homes.\It’s not very good for sweeping.
1050304	Cute Broom	Looks great in fancy homes.\It’s not very good for sweeping.
1050305	Cute Broom	Looks great in fancy homes.\It’s not very good for sweeping.
1050313	Shrine Maiden's Dagger	A dagger carried by shrine maidens for self-defense.\It may be small for a blade, but it's still big and bulky as an accessory.
1050314	Shrine Maiden's Dagger	A dagger carried by shrine maidens for self-defense.\It may be small for a blade, but it's still big and bulky as an accessory.
1050315	Shrine Maiden's Dagger	A dagger carried by shrine maidens for self-defense.\It may be small for a blade, but it's still big and bulky as an accessory.
1050333	Quintessential Flask	A mysterious flask with a mysterious compound.\It cannot be recreated as the method has been lost.
1050334	Quintessential Flask	A mysterious flask with a mysterious compound.\It cannot be recreated as the method has been lost.
1050335	Quintessential Flask	A mysterious flask with a mysterious compound.\It cannot be recreated as the method has been lost.
1050343	Santa's Candy Cane	A cane full of candy.\May good little demons be blessed.
1050344	Santa's Candy Cane	A cane full of candy.\May good little demons be blessed.
1050345	Santa's Candy Cane	A cane full of candy.\May good little demons be blessed.
1050363	Spear of Divine Punishment	A holy spear born from a part of Maat's soul.\Its tip may be pointed straight at you.
1050364	Spear of Divine Punishment	A holy spear born from a part of Maat's soul.\Its tip may be pointed straight at you.
1050365	Spear of Divine Punishment	A holy spear born from a part of Maat's soul.\Its tip may be pointed straight at you.
1050373	Evil Flower	An unusually shaped sword modified specifically for Ashtoreth.\Once it goes in, it's not easy to get it back out.
1050374	Evil Flower	An unusually shaped sword modified specifically for Ashtoreth.\Once it goes in, it's not easy to get it back out.
1050375	Evil Flower	An unusually shaped sword modified specifically for Ashtoreth.\Once it goes in, it's not easy to get it back out.
1050383	Demeter Syringe	An angry vein provides power.\A syringe full of Demeter's rage.
1050384	Demeter Syringe	An angry vein provides power.\A syringe full of Demeter's rage.
1050385	Demeter Syringe	An angry vein provides power.\A syringe full of Demeter's rage.
1050413	Round Bouquet	A bouquet made of preserved flowers.\An eternal vow that will never wither.
1050414	Round Bouquet	A bouquet made of preserved flowers.\An eternal vow that will never wither.
1050415	Round Bouquet	A bouquet made of preserved flowers.\An eternal vow that will never wither.
1050423	Volleyball	Tristan's Beach Volleyball. Has extraordinary elasticity and durability.
1050424	Volleyball	Tristan's Beach Volleyball. Has extraordinary elasticity and durability.
1050425	Volleyball	Tristan's Beach Volleyball. Has extraordinary elasticity and durability.
1050433	Steel Rose	A jewel that shrinks and grows with Brigid's magic power.\There's no rose inside of it.
1050434	Steel Rose	A jewel that shrinks and grows with Brigid's magic power.\There's no rose inside of it.
1050435	Steel Rose	A jewel that shrinks and grows with Brigid's magic power.\There's no rose inside of it.
1050443	Stygian Grail	A stygian grail that holds Rita's fate. Proof of a maniacal zealot.
1050444	Stygian Grail	A stygian grail that holds Rita's fate. Proof of a maniacal zealot.
1050445	Stygian Grail	A stygian grail that holds Rita's fate. Proof of a maniacal zealot.
1050453	Wings of Loneliness	Wings bearing curious magic power.
1050454	Wings of Loneliness	Wings bearing curious magic power.
1050455	Wings of Loneliness	Wings bearing curious magic power.
1050463	Gothic Parasol	Bathory's gothic parasol.\Enhanced to block UV rays. Has the soft fragrance of dried roses.
1050464	Gothic Parasol	Bathory's gothic parasol.\Enhanced to block UV rays. Has the soft fragrance of dried roses.
1050465	Gothic Parasol	Bathory's gothic parasol.\Enhanced to block UV rays. Has the soft fragrance of dried roses.
1050483	Plapa Glow Stick	A limited edition glow stick from the Planet Party Fan Club.\Essential for having a blast at concerts.
1050484	Plapa Glow Stick	A limited edition glow stick from the Planet Party Fan Club.\Essential for having a blast at concerts.
1050485	Plapa Glow Stick	A limited edition glow stick from the Planet Party Fan Club.\Essential for having a blast at concerts.
1050493	Jegi, New Year's Toy	Traditionally used in a winter game.\Used to be considered the main cause of navicular fracture.
1050494	Jegi, New Year's Toy	Traditionally used in a winter game.\Used to be considered the main cause of navicular fracture.
1050495	Jegi, New Year's Toy	Traditionally used in a winter game.\Used to be considered the main cause of navicular fracture.
1050503	Dana's Baculus	The crosier Dana uses to guide lost sheep.
1050504	Dana's Baculus	The crosier Dana uses to guide lost sheep.
1050505	Dana's Baculus	The crosier Dana uses to guide lost sheep.
1050523	Deviroid VI	A magic instant camera with which many truths have been documented.
1050524	Deviroid VI	A magic instant camera with which many truths have been documented.
1050525	Deviroid VI	A magic instant camera with which many truths have been documented.
1050533	Limos's Trident	Limos's special, short trident, which can skewer donuts\with alarming speed and accuracy. It doubles as a fork.
1050534	Limos's Trident	Limos's special, short trident, which can skewer donuts\with alarming speed and accuracy. It doubles as a fork.
1050535	Limos's Trident	Limos's special, short trident, which can skewer donuts\with alarming speed and accuracy. It doubles as a fork.
1050543	Arcus Diabolus: Bolverk	Noel's Nox Nyctores.\Can be used to attack any location she thinks of,\no matter how many walls are in the way.
1050544	Arcus Diabolus: Bolverk	Noel's Nox Nyctores.\Can be used to attack any location she thinks of,\no matter how many walls are in the way.
1050545	Arcus Diabolus: Bolverk	Noel's Nox Nyctores.\Can be used to attack any location she thinks of,\no matter how many walls are in the way.
1050563	Legendary Water Gun	A powerful water gun.\It bears the name Spittin' Dragon.
1050564	Legendary Water Gun	A powerful water gun.\It bears the name Spittin' Dragon.
1050565	Legendary Water Gun	A powerful water gun.\It bears the name Spittin' Dragon.
1050573	Keino's Scissors	It is said if you hold these scissors in your mouth in front of a mirror,\you'll see the person you're going to marry.
1050574	Keino's Scissors	It is said if you hold these scissors in your mouth in front of a mirror,\you'll see the person you're going to marry.
1050575	Keino's Scissors	It is said if you hold these scissors in your mouth in front of a mirror,\you'll see the person you're going to marry.
1050583	Thisbe's Hair Ornament	Multi-colored flowers give off a lovely impression.
1050584	Thisbe's Hair Ornament	Multi-colored flowers give off a lovely impression.
1050585	Thisbe's Hair Ornament	Multi-colored flowers give off a lovely impression.
1050593	Delicate Man's Sheep Horns	Infatuated Vincent's Sheep Horns.
1050594	Delicate Man's Sheep Horns	Infatuated Vincent's Sheep Horns.
1050595	Delicate Man's Sheep Horns	Infatuated Vincent's Sheep Horns.
1050653	Knight's Piercing Spear	Spear presented to a loyal knight by their master.
1050654	Knight's Piercing Spear	Spear presented to a loyal knight by their master.
1050655	Knight's Piercing Spear	Spear presented to a loyal knight by their master.
1050783	Pallas's Spear	An extension of Pallas that is endlessly cared for.\Well-maintained, it has a sharp glow.
1050784	Pallas's Spear	An extension of Pallas that is endlessly cared for.\Well-maintained, it has a sharp glow.
1050785	Pallas's Spear	An extension of Pallas that is endlessly cared for.\Well-maintained, it has a sharp glow.
1050813	Passionate Mic	Channel Evil reporter A.I's\favorite microphone.
1050814	Passionate Mic	Channel Evil reporter A.I's\favorite microphone.
1050815	Passionate Mic	Channel Evil reporter A.I's\favorite microphone.
1050843	Bari's Folding Fan	Bari's folding fan, created to divine the fortunes of the living.
1050844	Bari's Folding Fan	Bari's folding fan, created to divine the fortunes of the living.
1050845	Bari's Folding Fan	Bari's folding fan, created to divine the fortunes of the living.
1050853	Fuma Kodachi	Ayane's blades, which suppress the opponent in one swift attack.
1050854	Fuma Kodachi	Ayane's blades, which suppress the opponent in one swift attack.
1050855	Fuma Kodachi	Ayane's blades, which suppress the opponent in one swift attack.
1050983	Vermilion Bird Mirage Shoes	Shoes that let you make sharp kicking moves.
1050984	Vermilion Bird Mirage Shoes	Shoes that let you make sharp kicking moves.
1050985	Vermilion Bird Mirage Shoes	Shoes that let you make sharp kicking moves.
2010013	Casual T-Shirt	A pop-fashion t-shirt with a catchphrase written in the middle. "SOLD OUT"
2010014	Casual T-Shirt	A pop-fashion t-shirt with a catchphrase written in the middle. "SOLD OUT"
2010015	Casual T-Shirt	A pop-fashion t-shirt with a catchphrase written in the middle. "SOLD OUT"
2010023	Hawaiian Shirt	A unique island design.\It’s not for those who lack courage.
2010024	Hawaiian Shirt	A unique island design.\It’s not for those who lack courage.
2010025	Hawaiian Shirt	A unique island design.\It’s not for those who lack courage.
2010033	Dad's Running Shirt	Dad’s sweaty running shirt.\What does a son think when he sees his father wearing this?
2010034	Dad's Running Shirt	Dad’s sweaty running shirt.\What does a son think when he sees his father wearing this?
2010035	Dad's Running Shirt	Dad’s sweaty running shirt.\What does a son think when he sees his father wearing this?
2020043	Retro Vest	Recommended by all the most trustworthy trendsetters.\Wear this to a singles mixer to have your advances rejected.
2020044	Retro Vest	Recommended by all the most trustworthy trendsetters.\Wear this to a singles mixer to have your advances rejected.
2020045	Retro Vest	Recommended by all the most trustworthy trendsetters.\Wear this to a singles mixer to have your advances rejected.
2020053	Grandma's Scarf	Lovingly knitted one stitch at a time by a grandmother.\Makes you feel warmer just looking at it.
2020054	Grandma's Scarf	Lovingly knitted one stitch at a time by a grandmother.\Makes you feel warmer just looking at it.
2020055	Grandma's Scarf	Lovingly knitted one stitch at a time by a grandmother.\Makes you feel warmer just looking at it.
2020063	Sleeping Slacks	Soft and comfortable these may be,\but don't expect them to help you fall asleep instantly.
2020064	Sleeping Slacks	Soft and comfortable these may be,\but don't expect them to help you fall asleep instantly.
2020065	Sleeping Slacks	Soft and comfortable these may be,\but don't expect them to help you fall asleep instantly.
2020073	Purple Jersey	These don’t help you look fashionable anymore.\The perfect outfit for a quick trip to the convenience store.
2020074	Purple Jersey	These don’t help you look fashionable anymore.\The perfect outfit for a quick trip to the convenience store.
2020075	Purple Jersey	These don’t help you look fashionable anymore.\The perfect outfit for a quick trip to the convenience store.
2030083	Champion Pants	Calling these "pants" may be giving them too much credit.\Wear with matching shirt for the total dorky package.
2030084	Champion Pants	Calling these "pants" may be giving them too much credit.\Wear with matching shirt for the total dorky package.
2030085	Champion Pants	Calling these "pants" may be giving them too much credit.\Wear with matching shirt for the total dorky package.
2030093	Camouflage Gear	A full set of camouflage for military use.\Wear them in the grass for the full effect.
2030094	Camouflage Gear	A full set of camouflage for military use.\Wear them in the grass for the full effect.
2030095	Camouflage Gear	A full set of camouflage for military use.\Wear them in the grass for the full effect.
2030103	Sailor Uniform	A sailor uniform worn by high school girls.\Some day you’ll need to update your style.
2030104	Sailor Uniform	A sailor uniform worn by high school girls.\Some day you’ll need to update your style.
2030105	Sailor Uniform	A sailor uniform worn by high school girls.\Some day you’ll need to update your style.
2030113	Baby Doll	Beautifully designed lingerie.\Made with absolutely no regard for how embarrassed the wearer may feel.
2030114	Baby Doll	Beautifully designed lingerie.\Made with absolutely no regard for how embarrassed the wearer may feel.
2030115	Baby Doll	Beautifully designed lingerie.\Made with absolutely no regard for how embarrassed the wearer may feel.
2030123	Hell T-Shirt	Says "Bloodlake Sauna" on the front.\The back has a picture of hell.
2030124	Hell T-Shirt	Says "Bloodlake Sauna" on the front.\The back has a picture of hell.
2030125	Hell T-Shirt	Says "Bloodlake Sauna" on the front.\The back has a picture of hell.
2030133	Champion Belt	Flawlessly designed champion belt.\You feel stronger the instant you put it on.
2030134	Champion Belt	Flawlessly designed champion belt.\You feel stronger the instant you put it on.
2030135	Champion Belt	Flawlessly designed champion belt.\You feel stronger the instant you put it on.
2040143	Royal Cloak	Neither good kids nor bad ones\can wear this finely-feathered cloak.
2040144	Royal Cloak	Neither good kids nor bad ones\can wear this finely-feathered cloak.
2040145	Royal Cloak	Neither good kids nor bad ones\can wear this finely-feathered cloak.
2040153	Chinese Dress	A Chinese dress with a slit up to the hip.\Sorry Boys, Ladies only.
2040154	Chinese Dress	A Chinese dress with a slit up to the hip.\Sorry Boys, Ladies only.
2040155	Chinese Dress	A Chinese dress with a slit up to the hip.\Sorry Boys, Ladies only.
2040163	Mink Coat	A finely designed mink coat.\May contain the souls of the Minks who died to make it.
2040164	Mink Coat	A finely designed mink coat.\May contain the souls of the Minks who died to make it.
2040165	Mink Coat	A finely designed mink coat.\May contain the souls of the Minks who died to make it.
2050183	Ballet Dress	An authentic ballerina dress.\You’ll feel like a white swan wearing this.
2050184	Ballet Dress	An authentic ballerina dress.\You’ll feel like a white swan wearing this.
2050185	Ballet Dress	An authentic Ballerina Dress.\You’ll feel like a white swan wearing this.
2050193	Wedding Dress	I fell in love with it at first glance.\I don’t have anyone to wear it for. Yet...
2050194	Wedding Dress	I fell in love with it at first glance.\I don’t have anyone to wear it for. Yet...
2050195	Wedding Dress	I fell in love with it at first glance.\I don’t have anyone to wear it for. Yet...
2050203	Bikini	The more skin you show, the harder you hit.\Isn't that just common sense?
2050204	Bikini	The more skin you show, the harder you hit.\Isn't that just common sense?
2050205	Bikini	The more skin you show, the harder you hit.\Isn't that just common sense?
2050213	Wetsuit	Purchased to be prepared for underwater battles.\May keep you warmer than it looks like it would.
2050214	Wetsuit	Purchased to be prepared for underwater battles.\May keep you warmer than it looks like it would.
2050215	Wetsuit	Purchased to be prepared for underwater battles.\May keep you warmer than it looks like it would.
2050283	Tailored Outfit	Classical maid style dress, completely bulletproof.\Made and sealed specifically for fighting maids.
2050284	Tailored Outfit	Classical maid style dress, completely bulletproof.\Made and sealed specifically for fighting maids.
2050285	Tailored Outfit	Classical maid style dress, completely bulletproof.\Made and sealed specifically for fighting maids.
2050293	Dainty Robe	A traditional outfit worn in a foreign country.\If you want to stand out in town, this would be a good way to do it.
2050294	Dainty Robe	A traditional outfit worn in a foreign country.\If you want to stand out in town, this would be a good way to do it.
2050295	Dainty Robe	A traditional outfit worn in a foreign country.\If you want to stand out in town, this would be a good way to do it.
2050313	Alchemist's Gloves	Gloves that have been treated for scientific experiments.\Do NOT break, deform, wash, or use near open flame.
2050314	Alchemist's Gloves	Gloves that have been treated for scientific experiments.\Do NOT break, deform, wash, or use near open flame.
2050315	Alchemist's Gloves	Gloves that have been treated for scientific experiments.\Do NOT break, deform, wash, or use near open flame.
2050323	Santa Hat	DNA matching the missing reindeer\was found in Santa's hat.
2050324	Santa Hat	DNA matching the missing reindeer\was found in Santa's hat.
2050325	Santa Hat	DNA matching the missing reindeer\was found in Santa's hat.
2050343	Rage Cap	Demeter's nurse cap immune to even a fiery rage.
2050344	Rage Cap	Demeter's nurse cap immune to even a fiery rage.
2050345	Rage Cap	Demeter's nurse cap immune to even a fiery rage.
2050363	Flower Veil	A bridal veil decorated with preserved flowers.
2050364	Flower Veil	A bridal veil decorated with preserved flowers.
2050365	Flower Veil	A bridal veil decorated with preserved flowers.
2050373	Knee Sleeves	Isolde's knee bracers, made by Channel Evil. Made of a special kind of neoprene.
2050374	Knee Sleeves	Isolde's knee bracers, made by Channel Evil. Made of a special kind of neoprene.
2050375	Knee Sleeves	Isolde's knee bracers, made by Channel Evil. Made of a special kind of neoprene.
2050383	Deep Red Dress	A dress with a rose motif for Brigid.\It carries a faint smell of blood.
2050384	Deep Red Dress	A dress with a rose motif for Brigid.\It carries a faint smell of blood.
2050385	Deep Red Dress	A dress with a rose motif for Brigid.\It carries a faint smell of blood.
2050393	Veil of Exorcism	The veil Rita uses for exorcisms. It lures demons into an even darker embrace.
2050394	Veil of Exorcism	The veil Rita uses for exorcisms. It lures demons into an even darker embrace.
2050395	Veil of Exorcism	The veil Rita uses for exorcisms. It lures demons into an even darker embrace.
2050403	Black Garment of Sorrow	A pitch-black dress emanating with curious magic power.
2050404	Black Garment of Sorrow	A pitch-black dress emanating with curious magic power.
2050405	Black Garment of Sorrow	A pitch-black dress emanating with curious magic power.
2050413	Bustle Dress	A gothic bustle style dress\that perfectly suits Bathory's tastes.
2050414	Bustle Dress	A gothic bustle style dress\that perfectly suits Bathory's tastes.
2050415	Bustle Dress	A gothic bustle style dress\that perfectly suits Bathory's tastes.
2050433	Highlight Dress	Aria's concert attire.\It's her dreams, passion, and hard work given physical form.
2050434	Highlight Dress	Aria's concert attire.\It's her dreams, passion, and hard work given physical form.
2050435	Highlight Dress	Aria's concert attire.\It's her dreams, passion, and hard work given physical form.
2050443	Original New Year's Outfit	Best wishes for the new year! \An original New Year's garment prepared with determination.
2050444	Original New Year's Outfit	Best wishes for the new year! \An original New Year's garment prepared with determination.
2050445	Original New Year's Outfit	Best wishes for the new year! \An original New Year's garment prepared with determination.
2050453	Dana's Miter	A miter symbolizing Dana's majesty.
2050454	Dana's Miter	A miter symbolizing Dana's majesty.
2050455	Dana's Miter	A miter symbolizing Dana's majesty.
2050473	Alchemist's Spectacles	Sporting everything from blue-light reduction, to a microscope mode,\these state of the art spectacles can do anything.
2050474	Alchemist's Spectacles	Sporting everything from blue-light reduction, to a microscope mode,\these state of the art spectacles can do anything.
2050475	Alchemist's Spectacles	Sporting everything from blue-light reduction, to a microscope mode,\these state of the art spectacles can do anything.
2050483	Limos's Bikini	Bikini armor especially manufactured for Limos.\Apparently, this is enough protection...from most things.
2050484	Limos's Bikini	Bikini armor especially manufactured for Limos.\Apparently, this is enough protection...from most things.
2050485	Limos's Bikini	Bikini armor especially manufactured for Limos.\Apparently, this is enough protection...from most things.
2050493	Makoto's Combat Suit	Makoto's combat suit.\Not recommended for the faint of heart or large of chest.
2050494	Makoto's Combat Suit	Makoto's combat suit.\Not recommended for the faint of heart or large of chest.
2050495	Makoto's Combat Suit	Makoto's combat suit.\Not recommended for the faint of heart or large of chest.
2050513	Billy's Swimsuit	A hydro shooter's swimsuit for use in water gun battles.\It's ultra flexible and highly waterproof.
2050514	Billy's Swimsuit	A hydro shooter's swimsuit for use in water gun battles.\It's ultra flexible and highly waterproof.
2050515	Billy's Swimsuit	A hydro shooter's swimsuit for use in water gun battles.\It's ultra flexible and highly waterproof.
2050523	Keino's Dress	Keino's dress.\It was sewn, not with a machine, but entirely by hand.
2050524	Keino's Dress	Keino's dress.\It was sewn, not with a machine, but entirely by hand.
2050525	Keino's Dress	Keino's dress.\It was sewn, not with a machine, but entirely by hand.
2050533	Thisbe's Ribbon	A chic ribbon that gives off a silvery matte glow.
2050534	Thisbe's Ribbon	A chic ribbon that gives off a silvery matte glow.
2050535	Thisbe's Ribbon	A chic ribbon that gives off a silvery matte glow.
2050543	Delicate Man's Underwear	Infatuated Vincent's Underwear.
2050544	Delicate Man's Underwear	Infatuated Vincent's Underwear.
2050545	Delicate Man's Underwear	Infatuated Vincent's Underwear.
2050603	Knight's Lancer Uniform	Uniform of a knight who risks their life to protect their master.
2050604	Knight's Lancer Uniform	Uniform of a knight who risks their life to protect their master.
2050605	Knight's Lancer Uniform	Uniform of a knight who risks their life to protect their master.
2050633	Pallas's Cloak	A tailor-made night cloak for Pallas.\Its fluid movement exudes finesse.
2050634	Pallas's Cloak	A tailor-made night cloak for Pallas.\Its fluid movement exudes finesse.
2050635	Pallas's Cloak	A tailor-made night cloak for Pallas.\Its fluid movement exudes finesse.
2050663	Enamel Suit	Channel Evil reporter A.I's\exceedingly risqué outfit.
2050664	Enamel Suit	Channel Evil reporter A.I's\exceedingly risqué outfit.
2050665	Enamel Suit	Channel Evil reporter A.I's\exceedingly risqué outfit.
2050693	Bari's Shawl	Bari's traditional attire, which has a mysterious air about it.\It radiates blue light in dark places.
2050694	Bari's Shawl	Bari's traditional attire, which has a mysterious air about it.\It radiates blue light in dark places.
2050695	Bari's Shawl	Bari's traditional attire, which has a mysterious air about it.\It radiates blue light in dark places.
2050703	Peach Blossom Obi	A cherry blossom-colored sash that flutters in the moonlight.
2050704	Peach Blossom Obi	A cherry blossom-colored sash that flutters in the moonlight.
2050705	Peach Blossom Obi	A cherry blossom-colored sash that flutters in the moonlight.
2050833	Vermilion Bird Mirage Cheongsam	A cheongsam reminiscent of the Vermilion Bird taking flight.
2050834	Vermilion Bird Mirage Cheongsam	A cheongsam reminiscent of the Vermilion Bird taking flight.
2050835	Vermilion Bird Mirage Cheongsam	A cheongsam reminiscent of the Vermilion Bird taking flight.
3010013	Evil Spirit Ward	Designed to ward off lesser demons.\Effects are iffy at best.
3010014	Evil Spirit Ward	Designed to ward off lesser demons.\Effects are iffy at best.
3010015	Evil Spirit Ward	Designed to ward off lesser demons.\Effects are iffy at best.
3010023	Red Mask	A mask said to have been worn by the master himself.\Incidentally, don't believe everything you hear.
3010024	Red Mask	A mask said to have been worn by the master himself.\Incidentally, don't believe everything you hear.
3010025	Red Mask	A mask said to have been worn by the master himself.\Incidentally, don't believe everything you hear.
3010033	Gold Menko	Menko: a game for children typically made with gold leaf foil.\It may not actually be tough, but it looks tough anyway.
3010034	Gold Menko	Menko: a game for children typically made with gold leaf foil.\It may not actually be tough, but it looks tough anyway.
3010035	Gold Menko	Menko: a game for children typically made with gold leaf foil.\It may not actually be tough, but it looks tough anyway.
3020043	Cloth Eyepatch	Worn by a young teenage girl who happened to be passing by.\Your left eye aches like hell the moment you put it on.
3020044	Cloth Eyepatch	Worn by a young teenage girl who happened to be passing by.\Your left eye aches like hell the moment you put it on.
3020045	Cloth Eyepatch	Worn by a young teenage girl who happened to be passing by.\Your left eye aches like hell the moment you put it on.
3020053	Warning Whistle	Seek help from law enforcement if you find yourself outmatched.
3020054	Warning Whistle	Seek help from law enforcement if you find yourself outmatched.
3020055	Warning Whistle	Seek help from law enforcement if you find yourself outmatched.
3020063	White Hat	Worn at sports day events in schools everywhere.\Looks pretty harmless, honestly.
3020064	White Hat	Worn at sports day events in schools everywhere.\Looks pretty harmless, honestly.
3020065	White Hat	Worn at sports day events in schools everywhere.\Looks pretty harmless, honestly.
3020073	Bracelet	This special silver accessory can only be worn once you've\committed a crime worthy of it.
3020074	Bracelet	This special silver accessory can only be worn once you've\committed a crime worthy of it.
3020075	Bracelet	This special silver accessory can only be worn once you've\committed a crime worthy of it.
3030083	Mint Candle	Did you know that mint has restorative healing properties?\Me neither.
3030084	Mint Candle	Did you know that mint has restorative healing properties?\Me neither.
3030085	Mint Candle	Did you know that mint has restorative healing properties?\Me neither.
3030093	Bug Repellant	Works on all kinds of bugs, and we do mean ALL kinds.\Be careful not to get any on yourself.
3030094	Bug Repellant	Works on all kinds of bugs, and we do mean ALL kinds.\Be careful not to get any on yourself.
3030095	Bug Repellant	Works on all kinds of bugs, and we do mean ALL kinds.\Be careful not to get any on yourself.
3030103	Foxtail Key Ring	Made from an entire fox tail.\You feel like its former owner is watching over you. Yip yip yip!
3030104	Foxtail Key Ring	Made from an entire fox tail.\You feel like its former owner is watching over you. Yip yip yip!
3030105	Foxtail Key Ring	Made from an entire fox tail.\You feel like its former owner is watching over you. Yip yip yip!
3030113	Fancy Jewelry Box	A classically made, elegant, brilliant jewelry box.
3030114	Fancy Jewelry Box	A classically made, elegant, brilliant jewelry box.
3030115	Fancy Jewelry Box	A classically made, elegant, brilliant jewelry box.
3030123	3D Puzzle	Looks cool,\but doesn't actually help raise magic OR intelligence.
